fdc_id,ingredient_name,food_category_id,category_name,"Calcium, Ca (MG)","Carbohydrate, by difference (G)",Energy (KCAL),Energy (kJ),"Fiber, total dietary (G)","Folate, total (UG)","Iron, Fe (MG)","Magnesium, Mg (MG)","Potassium, K (MG)",Protein (G),"Sodium, Na (MG)",Total lipid (fat) (G),"Vitamin A, RAE (UG)",Vitamin B-12 (UG),"Vitamin C, total ascorbic acid (MG)",Vitamin D (D2 + D3) (UG),"Zinc, Zn (MG)",portion_description,gram_weight
319874,"HUMMUS, SABRA CLASSIC",16.0,,,,,,,,,,,,,,,,,,,,
319875,"HUMMUS, SABRA CLASSIC",16.0,,,,,,,,,,,,,,,,,,,,35.8
319876,"HUMMUS, SABRA CLASSIC",16.0,,,,,,,,,,,,,,,,,,,,
319877,Hummus,16.0,,,,,,,,,,,,,19.0,,,,,,,
319878,Hummus,16.0,,46.0,,,,,,2.33,75.9,326.0,,446.0,,,,,,1.5,,
319879,"HUMMUS, SABRA CLASSIC",16.0,,,,,,,,,,,,,,,,,,,,
319880,"HUMMUS, SABRA CLASSIC",16.0,,,,,,,,,,,,,,,,,,,,36.2
319881,"HUMMUS, SABRA CLASSIC",16.0,,,,,,,,,,,,,,,,,,,,33.4
319882,Hummus,16.0,,,,,,,,,,,,,18.7,,,,,,,
319883,Hummus,16.0,,,,,,,,,,,,,,,,,,,,
319884,Hummus,16.0,,57.0,,,,,,2.96,81.4,327.0,,444.0,,,,,,1.47,,
319885,"HUMMUS, SABRA CLASSIC",16.0,,,,,,,,,,,,,,,,,,,,
319886,"HUMMUS, SABRA CLASSIC",16.0,,,,,,,,,,,,,,,,,,,,33.2
319887,"HUMMUS, SABRA CLASSIC",16.0,,,,,,,,,,,,,,,,,,,,
319888,"HUMMUS, SABRA CLASSIC",16.0,,,,,,,,,,,,,,,,,,,,
319889,"HUMMUS, SABRA CLASSIC",16.0,,,,,,,,,,,,,,,,,,,,34.6
319890,"HUMMUS, SABRA CLASSIC",16.0,,,,,,,,,,,,,,,,,,,,
319891,"HUMMUS, SABRA CLASSIC",16.0,,,,,,,,,,,,,,,,,,,,
319892,Hummus,16.0,,,,,,,,,,,,,16.6,,,,,,,
319893,Hummus,16.0,,46.0,,,,,,2.72,69.8,320.0,,387.0,,,,,,1.42,,
319894,"HUMMUS, OTHER",16.0,,,,,,,,,,,,,,,,,,,,
319895,"HUMMUS, OTHER",16.0,,,,,,,,,,,,,,,,,,,,34.8
319896,"HUMMUS, OTHER",16.0,,,,,,,,,,,,,,,,,,,,
319897,"HUMMUS, OTHER",16.0,,,,,,,,,,,,,,,,,,,,31.4
319898,"HUMMUS, OTHER",16.0,,,,,,,,,,,,,,,,,,,,
319899,Hummus,16.0,,,,,,,,,,,,,19.1,,,,,,,
319900,Hummus,16.0,,38.0,,,,,,2.07,68.5,252.0,,489.0,,,,,,1.28,,
319901,"HUMMUS, SABRA CLASSIC",16.0,,,,,,,,,,,,,,,,,,,,
319902,"HUMMUS, SABRA CLASSIC",16.0,,,,,,,,,,,,,,,,,,,,32.0
319903,"HUMMUS, SABRA CLASSIC",16.0,,,,,,,,,,,,,,,,,,,,
319904,"HUMMUS, SABRA CLASSIC",16.0,,,,,,,,,,,,,,,,,,,,32.2
319905,"HUMMUS, SABRA CLASSIC",16.0,,,,,,,,,,,,,,,,,,,,
319906,Hummus - NFY12140O,16.0,,,,,,,,,,,,,,,,,,,,
319907,Hummus - NFY12140P,16.0,,,,,,,,,,,,,,,,,,,,
319908,Hummus,16.0,,,,,,,,,,,,,18.2,,,,,,,
319909,Hummus,16.0,,,,,,,51.0,,,,,,,,,,,,,
319910,Hummus,16.0,,,,,,,,,,,,,,,,,,,,
319911,Hummus,16.0,,,,,,,,,,,,,,,,,,,,
319912,Hummus,16.0,,51.0,,,,,,2.7,73.1,317.0,,428.0,,,,,,1.45,,
319913,Hummus,16.0,,,,,,,,,,,,,,,,,,,,
319914,Hummus,16.0,,,,,,,,,,,,,,,,,,,,
319915,Hummus - NFY12140Q,16.0,,,,,,5.7,,,,,,,,,,,,,,
319916,Hummus - NFY12140R,16.0,,,,,,,,,,,,,,,,,,,,
319917,Hummus - NFY12140S,16.0,,,,,,,,,,,,,,,,,,,,
319918,Hummus - NFY12140F,16.0,,,,,,,,,,,,,,,,,,,,
319919,Hummus - NFY12140G,16.0,,,,,,,,,,,,,,,,,,,,
319920,"Hummus, Sabra Classic - CA1, IN",16.0,,,,,,,,,,,,,,,,0.0,,,,
319921,"HUMMUS, SABRA CLASSIC",16.0,,,,,,,,,,,,,,,,,,,,
319922,"HUMMUS, SABRA CLASSIC",16.0,,,,,,,,,,,,,,,,,,,,33.6
